Threads,exec_time,speedup
1S, 3.635480 , 1
1, 7.892430  ,.460628
2, 3.498460  ,1.039165
3, 2.468562  ,1.472711
4, 2.082322  ,1.745877
5, 1.881322  ,1.932407
6, 1.890811  ,1.922709
7, 2.185986  ,1.663084
8, 2.114139  ,1.719603
