Threads,exec_time,speedup
1, 0.120138  ,2.670089
2, 0.064951  ,1.443548
3, 0.048474  ,1.077343
4, 0.043663  ,.970418
5, 0.031793  ,.706605
6, 0.033312  ,.740365
7, 0.032075  ,.712872
8, 0.034537  ,.767591
