Threads,exec_time,speedup
1, 1.357065  ,2.694963
2, 0.706616  ,1.403252
3, 0.480175  ,.953568
4, 0.340604  ,.676397
5, 0.307227  ,.610114
6, 0.357059  ,.709075
7, 0.341803  ,.678778
8, 0.352816  ,.700648
