Threads,exec_time,speedup
1, 1.903729  ,2.328412
2, 0.753063  ,.921056
3, 0.535331  ,.654752
4, 0.427277  ,.522593
5, 0.383467  ,.469010
6, 0.403471  ,.493477
7, 0.407606  ,.498534
8, 0.422188  ,.516369
