Threads,exec_time,speedup
1, 0.112014  ,4.448177
2, 0.057488  ,2.282900
3, 0.052853  ,2.098840
4, 0.056403  ,2.239814
5, 0.037727  ,1.498173
6, 0.045236  ,1.796362
7, 0.042784  ,1.698991
8, 0.026106  ,1.036692
