Threads,exec_time,speedup
1S, 61.227923, 1
1, 97.185250 ,.630012
2, 47.851984 ,1.279527
3, 33.541887 ,1.825416
4, 28.250064 ,2.167355
5, 27.331438 ,2.240201
6, 26.905242 ,2.275687
7, 26.835157 ,2.281630
8, 29.873573 ,2.049568
