Threads,exec_time,speedup
1, 0.162317  ,.325406
2, 0.092890  ,.568618
3, 0.066508  ,.794175
4, 0.060251  ,.876649
5, 0.052462  ,1.006804
6, 0.049526  ,1.066490
7, 0.036171  ,1.460258
8, 0.057731  ,.914915
9, 0.044877  ,1.176972
10, 0.036350  ,1.453067
