Threads,exec_time,speedup
1, 0.126137  ,4.140390
2, 0.080017  ,2.626522
3, 0.063220  ,2.075168
4, 0.066742  ,2.190776
5, 0.054893  ,1.801838
6, 0.058670  ,1.925816
7, 0.044884  ,1.473297
8, 0.055293  ,1.814967
